REPORT_NUM,EVENT_PROPERTY_NAME,EVENT_TYPE_ID,EVENT_TYPE_NAME,EVENT_SRC_NAME,DISTRICT_ID,INTIME_ARCHIVE_NUM,SUB_TYPE_ID,DISTRICT_NAME,COMMUNITY_ID,REC_ID,STREET_ID,OVERTIME_ARCHIVE_NUM,OPERATE_NUM,DISPOSE_UNIT_ID,STREET_NAME,CREATE_TIME,EVENT_SRC_ID,INTIME_TO_ARCHIVE_NUM,SUB_TYPE_NAME,EVENT_PROPERTY_ID,OCCUR_PLACE,COMMUNITY_NAME,DISPOSE_UNIT_NAME,MAIN_TYPE_NAME,MAIN_TYPE_ID
1,投诉,6,市政设施,美丽深圳,1,1,842,坪山区,10022,126588,105,0,1,1889,坑梓街道,2018/11/29 10:52,102,0,交通标志牌,2,-,秀新社区,坪山交通运输局,道路设施,184
1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10022,126589,105,0,1,8516,坑梓街道,2018/11/29 10:53,102,0,下水井盖,2,-,秀新社区,大工业区水务有限公司,公用部件,185
1,投诉,5,市容环卫,美丽深圳,1,1,598,坪山区,10022,126590,105,0,1,1770,坑梓街道,2018/11/29 10:53,102,0,住宅区域内废弃家具设备,2,-,秀新社区,市政服务中心（坑梓街道办事处）,废弃物堆放,177
1,投诉,5,市容环卫,美丽深圳,1,1,615,坪山区,10022,126591,105,0,1,1772,坑梓街道,2018/11/29 10:53,102,0,乱堆物堆料,2,-,秀新社区,城管办（坑梓街道办事处）,其他市容违法行为或影响市容事件,181
1,投诉,6,市政设施,@坪山,1,1,641,坪山区,10019,126594,105,0,1,9444,坑梓街道,2018/11/29 11:08,103,0,通讯交接箱,2,-,金沙社区,城建办（坑梓街道办事处）,公用部件,185
1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10020,126595,101,0,1,8516,龙田街道,2018/11/29 11:18,102,0,下水井盖,2,-,龙田社区,大工业区水务有限公司,公用部件,185
1,投诉,3,环保水务,美丽深圳,1,1,538,坪山区,10020,126596,101,0,1,1536,龙田街道,2018/11/29 11:18,102,0,下水道堵塞或破损,2,-,龙田社区,环境保护和水务局,供、排水及水质问题,152
1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10020,126597,101,0,1,1804,龙田街道,2018/11/29 11:18,102,0,下水井盖,2,-,龙田社区,龙田社区（龙田街道办事处）,公用部件,185
1,投诉,5,市容环卫,美丽深圳,1,1,587,坪山区,10022,126599,105,0,1,1770,坑梓街道,2018/11/29 11:28,102,0,道路保洁,2,-,秀新社区,市政服务中心（坑梓街道办事处）,道路保洁,174
1,投诉,6,市政设施,@坪山,1,1,832,坪山区,10003,126600,102,0,1,1920,马峦街道,2018/11/29 11:35,103,0,交通信号灯,2,-,江岭社区,市交警支队坪山大队,交通设施,183
1,投诉,3,环保水务,@坪山,1,1,497,坪山区,10007,126601,104,0,1,1536,坪山街道,2018/11/29 11:37,103,0,生活污水集污沟渠裸露黑臭,2,-,六联社区,环境保护和水务局,水污染,141
1,投诉,7,交通运输,@坪山,1,1,681,坪山区,10002,126602,100,0,1,1889,碧岭街道,2018/11/29 11:40,103,0,公共交通管理,2,-,汤坑社区,坪山交通运输局,公共交通管理,193
1,投诉,3,环保水务,@坪山,1,1,482,坪山区,10012,126603,104,0,1,8484,坪山街道,2018/11/29 11:42,103,0,饲养宠物家禽扰民,2,-,六和社区,坪山街道综合执法队（坪山街道办事处）,禽畜养殖污染,138
1,投诉,8,劳动社保,政府信箱,1,1,240,坪山区,10014,126604,101,0,1,1794,龙田街道,2018/11/29 11:42,104,0,劳动者的劳动报酬纠纷,2,-,老坑社区,劳动办（龙田街道办事处）,劳动社保,41
1,投诉,5,市容环卫,美丽深圳,1,1,752,坪山区,10020,126606,101,0,1,8508,龙田街道,2018/11/29 11:58,102,0,其他区域堆放施工废弃料,2,-,龙田社区,龙田街道综合执法队（龙田街道办事处）,废弃物堆放,177
1,投诉,5,市容环卫,美丽深圳,1,1,603,坪山区,10020,126607,101,0,1,8508,龙田街道,2018/11/29 12:03,102,0,店外经营,2,-,龙田社区,龙田街道综合执法队（龙田街道办事处）,占道经营,178
1,投诉,5,市容环卫,美丽深圳,1,1,603,坪山区,10019,126609,105,0,1,1772,坑梓街道,2018/11/29 12:23,102,0,店外经营,2,-,金沙社区,城管办（坑梓街道办事处）,占道经营,178
1,投诉,6,市政设施,@坪山,1,1,665,坪山区,10012,126611,104,0,1,1583,坪山街道,2018/11/29 12:39,103,0,道路破损,2,-,六和社区,城市管理局,市政、公共设施设置及维护,186
1,投诉,3,环保水务,12319,1,1,482,坪山区,10022,126612,105,0,1,1772,坑梓街道,2018/11/29 12:40,12,0,饲养宠物家禽扰民,2,-,秀新社区,城管办（坑梓街道办事处）,禽畜养殖污染,138
1,投诉,5,市容环卫,12319,1,1,1162,坪山区,10021,126613,105,0,1,1772,坑梓街道,2018/11/29 12:48,12,0,综合执法,2,-,沙田社区,城管办（坑梓街道办事处）,市容城管,1159
1,咨询,7,交通运输,@坪山,1,1,681,坪山区,10004,126614,102,0,1,1889,马峦街道,2018/11/29 13:04,103,0,公共交通管理,3,-,坪环社区,坪山交通运输局,公共交通管理,193
1,投诉,6,市政设施,@坪山,1,1,672,坪山区,10011,126615,103,0,1,8504,石井街道,2018/11/29 13:04,103,0,架空线缆损坏,2,-,田心社区,坪山街道电信营业中心,城市公共资源管理,187
1,投诉,5,市容环卫,@坪山,1,1,603,坪山区,10018,126619,101,0,1,8508,龙田街道,2018/11/29 13:40,103,0,店外经营,2,-,南布社区,龙田街道综合执法队（龙田街道办事处）,占道经营,178
