115374,1,2018-10-31 16:25:28,坪山区,1,坑梓街道,105,金沙社区,10019,市容环卫,5,占道经营,178,无照经营游商,602,城管办（坑梓街道办事处）,1772,12319,12,1,0,0,1,2,投诉,-
115375,1,2018-10-31 16:25:30,坪山区,1,碧岭街道,100,汤坑社区,10002,教育卫生,11,教育体制,1019,教育资源配置,1022,教育局,1500,@坪山,103,1,0,0,1,3,咨询,-
115379,1,2018-10-31 16:27:28,坪山区,1,龙田街道,101,南布社区,10018,市容环卫,5,绿化养护,176,绿地设施维护,597,城市管理局,1583,美丽深圳,102,1,0,0,1,2,投诉,-
115397,1,2018-10-31 16:41:40,坪山区,1,马峦街道,102,坪环社区,10004,环保水务,3,工业噪声,132,工业红线内噪声,460,马峦办事处综合执法队（马峦街道办事处）,8532,12345,13,1,0,0,1,2,投诉,-
115400,1,2018-10-31 16:48:28,坪山区,1,坑梓街道,105,秀新社区,10022,市容环卫,5,占道经营,178,无照经营游商,602,城管办（坑梓街道办事处）,1772,12319,12,1,0,0,1,2,投诉,-
115404,1,2018-10-31 16:57:40,-,0,-,0,-,0,党纪政纪,14,行政效能,100,服务质量,367,-,0,12345,13,1,0,0,1,99,-,-
115405,1,2018-10-31 16:57:40,坪山区,1,坑梓街道,105,金沙社区,10019,市容环卫,5,绿化养护,176,树木养护,589,规划土地监察大队,1605,12345,13,1,0,0,1,2,投诉,-
115406,1,2018-10-31 16:57:41,坪山区,1,坪山街道,104,六和社区,10012,环保水务,3,工业噪声,132,工业红线内噪声,460,环境保护和水务局,1536,12345,13,1,0,0,1,2,投诉,-
115407,1,2018-10-31 16:57:41,坪山区,1,坪山街道,104,和平社区,10016,市政设施,6,市政、公共设施设置及维护,186,其他施工管理问题,809,环境保护和水务局,1536,12345,13,1,0,0,1,2,投诉,-
115408,1,2018-10-31 16:57:42,坪山区,1,坪山街道,104,和平社区,10016,市容环卫,5,其他市容违法行为或影响市容事件,181,施工占道,808,环境保护和水务局,1536,12345,13,1,0,0,1,2,投诉,-
115412,1,2018-10-31 17:11:28,坪山区,1,坑梓街道,105,沙田社区,10021,市容环卫,5,绿化养护,176,绿化带养护,591,坪山交通运输局,1889,12319,12,1,0,0,1,2,投诉,-
115413,1,2018-10-31 17:12:28,坪山区,1,龙田街道,101,南布社区,10018,市政设施,6,公用部件,185,下水井盖,630,大工业区水务有限公司,8516,美丽深圳,102,1,0,0,1,2,投诉,-
115414,1,2018-10-31 17:17:28,坪山区,1,坑梓街道,105,金沙社区,10019,市容环卫,5,占道经营,178,店外经营,603,城管办（坑梓街道办事处）,1772,美丽深圳,102,1,0,0,1,2,投诉,-
115415,1,2018-10-31 17:17:29,坪山区,1,龙田街道,101,老坑社区,10014,市政设施,6,公用部件,185,上水井盖,629,大工业区水务有限公司,8516,美丽深圳,102,1,0,0,1,2,投诉,-
115419,1,2018-10-31 17:37:03,坪山区,1,坑梓街道,105,金沙社区,10019,教育卫生,11,教育体制,1019,教育资源配置,1022,住房和建设局,1555,固话投诉,106,1,0,0,1,2,投诉,-
115421,1,2018-10-31 17:45:28,坪山区,1,坑梓街道,105,金沙社区,10019,市容环卫,5,占道经营,178,无照经营游商,602,城管办（坑梓街道办事处）,1772,12319,12,1,0,0,1,2,投诉,-
115422,1,2018-10-31 17:47:28,坪山区,1,坑梓街道,105,沙田社区,10021,市容环卫,5,占道经营,178,无照经营游商,602,城管办（坑梓街道办事处）,1772,美丽深圳,102,1,0,0,1,2,投诉,-
115423,1,2018-10-31 17:47:29,坪山区,1,坑梓街道,105,沙田社区,10021,市容环卫,5,渣土问题,173,积存垃圾渣土,584,市政服务中心（坑梓街道办事处）,1770,美丽深圳,102,1,0,0,1,2,投诉,-
115424,1,2018-10-31 17:49:28,坪山区,1,坑梓街道,105,秀新社区,10022,市容环卫,5,占道经营,178,无照经营游商,602,城管办（坑梓街道办事处）,1772,12319,12,1,0,0,1,2,投诉,-
115427,1,2018-10-31 18:22:28,坪山区,1,龙田街道,101,南布社区,10018,市容环卫,5,占道经营,178,店外经营,603,龙田街道综合执法队（龙田街道办事处）,8508,美丽深圳,102,1,0,0,1,2,投诉,-
115435,1,2018-10-31 19:12:28,坪山区,1,马峦街道,102,坪环社区,10004,市容环卫,5,占道经营,178,无照经营游商,602,马峦办事处综合执法队（马峦街道办事处）,8532,12319,12,1,0,0,1,2,投诉,-
115436,1,2018-10-31 19:17:28,坪山区,1,马峦街道,102,坪环社区,10004,市容环卫,5,绿化养护,176,公共绿地养护,590,建筑工务局,1646,12319,12,1,0,0,1,2,投诉,-
115437,1,2018-10-31 19:19:50,坪山区,1,坪山街道,104,和平社区,10016,市容环卫,5,占道经营,178,店外经营,603,坪山街道综合执法队（坪山街道办事处）,8484,@坪山,103,1,0,0,1,2,投诉,-
115438,1,2018-10-31 19:21:23,坪山区,1,坪山街道,104,六和社区,10012,市容环卫,5,宣传广告违法行为,180,悬挂横幅标语、,611,坪山街道综合执法队（坪山街道办事处）,8484,@坪山,103,1,0,0,1,2,投诉,-
115439,1,2018-10-31 19:23:37,坪山区,1,坪山街道,104,六和社区,10012,市政设施,6,环卫设施设置及维护,182,灯箱霓虹灯,854,坪山街道综合执法队（坪山街道办事处）,8484,@坪山,103,1,0,0,1,2,投诉,-
115441,1,2018-10-31 19:30:28,坪山区,1,马峦街道,102,坪环社区,10004,市容环卫,5,占道经营,178,无照经营游商,602,马峦办事处综合执法队（马峦街道办事处）,8532,12319,12,1,0,0,1,2,投诉,-
115442,1,2018-10-31 19:34:28,坪山区,1,坪山街道,104,六联社区,10007,市政设施,6,公用部件,185,路灯(灯光)井盖,633,市政服务中心（坪山街道办事处）,1751,12319,12,1,0,0,1,2,投诉,-
115444,1,2018-10-31 19:37:28,坪山区,1,坪山街道,104,六联社区,10007,市容环卫,5,占道经营,178,无照经营游商,602,坪山街道综合执法队（坪山街道办事处）,8484,美丽深圳,102,1,0,0,1,2,投诉,-
115445,1,2018-10-31 19:43:13,坪山区,1,坪山街道,104,六联社区,10007,市容环卫,5,渣土问题,173,积存垃圾渣土,584,市政服务中心（坪山街道办事处）,1751,@坪山,103,1,0,0,1,2,投诉,-
115450,1,2018-10-31 20:13:30,坪山区,1,坪山街道,104,和平社区,10016,市容环卫,5,渣土问题,173,积存垃圾渣土,584,市政服务中心（坪山街道办事处）,1751,@坪山,103,1,0,0,1,2,投诉,-
115452,1,2018-10-31 20:16:28,坪山区,1,碧岭街道,100,沙湖社区,10010,市容环卫,5,占道经营,178,无照经营游商,602,城管办（碧岭街道办事处）,1876,12319,12,1,0,0,1,2,投诉,-
115457,1,2018-10-31 20:29:32,坪山区,1,坪山街道,104,和平社区,10016,市容环卫,5,渣土问题,173,积存垃圾渣土,584,市政服务中心（坪山街道办事处）,1751,@坪山,103,1,0,0,1,2,投诉,-
115458,1,2018-10-31 20:34:12,坪山区,1,坪山街道,104,六联社区,10007,市容环卫,5,绿化养护,176,树木养护,589,六联社区（坪山街道办事处）,1755,@坪山,103,1,0,0,1,2,投诉,-
115459,1,2018-10-31 20:40:24,坪山区,1,马峦街道,102,坪环社区,10004,市政设施,6,城市公共资源管理,187,架空线缆损坏,672,坪山供电局,1932,@坪山,103,1,1,0,0,2,投诉,-
115460,1,2018-10-31 20:43:02,坪山区,1,坪山街道,104,六联社区,10007,市政设施,6,公用部件,185,下水井盖,630,广东移动深圳公司,8474,@坪山,103,1,0,0,1,2,投诉,-
115461,1,2018-10-31 20:45:28,坪山区,1,龙田街道,101,老坑社区,10014,环保水务,3,服务行业废气扰民,140,油烟污染,486,龙田街道综合执法队（龙田街道办事处）,8508,12319,12,1,0,0,1,2,投诉,-
115462,1,2018-10-31 20:45:56,坪山区,1,坪山街道,104,六和社区,10012,市容环卫,5,宣传广告违法行为,180,未经批准设置广告牌,609,坪山街道综合执法队（坪山街道办事处）,8484,@坪山,103,1,0,0,1,2,投诉,-
115466,1,2018-10-31 20:53:32,坪山区,1,坪山街道,104,六和社区,10012,市容环卫,5,渣土问题,173,积存垃圾渣土,584,市政服务中心（坪山街道办事处）,1751,@坪山,103,1,0,0,1,2,投诉,-
115469,1,2018-10-31 21:25:28,坪山区,1,马峦街道,102,沙坣社区,10006,市容环卫,5,占道经营,178,无照经营游商,602,马峦办事处综合执法队（马峦街道办事处）,8532,12319,12,1,0,0,1,2,投诉,-
115470,1,2018-10-31 21:31:24,坪山区,1,坑梓街道,105,秀新社区,10022,市容环卫,5,占道经营,178,无照经营游商,602,城管办（坑梓街道办事处）,1772,@坪山,103,1,0,0,1,2,投诉,-
115471,1,2018-10-31 21:31:40,坪山区,1,马峦街道,102,沙坣社区,10006,市容环卫,5,占道经营,178,无照经营游商,602,马峦办事处综合执法队（马峦街道办事处）,8532,固话投诉,106,1,0,0,1,2,投诉,-
115472,1,2018-10-31 22:04:42,坪山区,1,碧岭街道,100,汤坑社区,10002,组织人事,12,人力资源,1047,人才战略,1048,区委组织部,1424,政府信箱,104,1,0,0,1,3,咨询,-
