REC_ID,REPORT_NUM,EVENT_PROPERTY_NAME,EVENT_TYPE_ID,EVENT_TYPE_NAME,EVENT_SRC_NAME,DISTRICT_ID,INTIME_ARCHIVE_NUM,SUB_TYPE_ID,DISTRICT_NAME,COMMUNITY_ID,STREET_ID,OVERTIME_ARCHIVE_NUM,OPERATE_NUM,DISPOSE_UNIT_ID,STREET_NAME,CREATE_TIME,EVENT_SRC_ID,INTIME_TO_ARCHIVE_NUM,SUB_TYPE_NAME,EVENT_PROPERTY_ID,OCCUR_PLACE,COMMUNITY_NAME,DISPOSE_UNIT_NAME,MAIN_TYPE_NAME,MAIN_TYPE_ID
74694,1,投诉,11,教育卫生,12345,1,1,1028,坪山区,10004,102,0,1,1500,马峦街道,2018/7/11 0:43,13,0,学历学位学籍管理,2,-,坪环社区,教育局,教育行政管理,1024
74695,1,投诉,6,市政设施,12345,1,1,630,坪山区,10018,101,0,1,8516,龙田街道,2018/7/11 0:43,13,0,下水井盖,2,-,南布社区,大工业区水务有限公司,公用部件,185
74696,1,咨询,4,规土城建,政府信箱,1,1,965,坪山区,10004,102,0,1,1661,马峦街道,2018/7/11 6:12,104,0,城市公共设施,3,-,坪环社区,政府投资项目前期工作管理办公室,城市建设和市政管理,964
74697,1,投诉,6,市政设施,美丽深圳,1,1,634,坪山区,10014,101,0,1,8474,龙田街道,2018/7/11 6:12,102,0,通讯井盖,2,-,老坑社区,广东移动深圳公司,公用部件,185
74698,1,投诉,6,市政设施,美丽深圳,1,0,632,坪山区,10014,101,1,1,1805,龙田街道,2018/7/11 6:17,102,0,电力井盖,2,-,老坑社区,老坑社区,公用部件,185
74699,1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10014,101,0,1,1932,龙田街道,2018/7/11 6:42,102,0,下水井盖,2,-,老坑社区,坪山供电局,公用部件,185
74701,1,投诉,6,市政设施,美丽深圳,1,0,630,坪山区,10014,101,1,1,1805,龙田街道,2018/7/11 6:42,102,0,下水井盖,2,-,老坑社区,老坑社区,公用部件,185
74702,1,投诉,3,环保水务,@坪山,1,1,461,坪山区,10013,101,0,1,1536,龙田街道,2018/7/11 6:45,103,0,工业红线外噪声,2,-,竹坑社区,环境保护和水务局,工业噪声,132
74703,1,投诉,5,市容环卫,美丽深圳,1,1,615,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/11 7:02,102,0,乱堆物堆料,2,-,秀新社区,市政服务中心（坑梓街道办事处）,其他市容违法行为或影响市容事件,181
74704,1,投诉,5,市容环卫,美丽深圳,1,1,609,坪山区,10020,101,0,1,8508,龙田街道,2018/7/11 7:17,102,0,未经批准设置广告牌,2,-,龙田社区,龙田街道综合执法队,宣传广告违法行为,180
74705,1,投诉,5,市容环卫,美丽深圳,1,1,609,坪山区,10020,101,0,1,8508,龙田街道,2018/7/11 7:17,102,0,未经批准设置广告牌,2,-,龙田社区,龙田街道综合执法队,宣传广告违法行为,180
74707,1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10020,101,0,1,8516,龙田街道,2018/7/11 7:17,102,0,下水井盖,2,-,龙田社区,大工业区水务有限公司,公用部件,185
74709,1,投诉,5,市容环卫,美丽深圳,1,0,752,坪山区,10020,101,1,1,1804,龙田街道,2018/7/11 7:37,102,0,其他区域堆放施工废弃料,2,-,龙田社区,龙田社区,废弃物堆放,177
74710,1,投诉,6,市政设施,美丽深圳,1,0,632,坪山区,10020,101,1,1,1804,龙田街道,2018/7/11 7:37,102,0,电力井盖,2,-,龙田社区,龙田社区,公用部件,185
74711,1,投诉,6,市政设施,美丽深圳,1,0,634,坪山区,10020,101,1,1,1804,龙田街道,2018/7/11 7:42,102,0,通讯井盖,2,-,龙田社区,龙田社区,公用部件,185
74712,1,投诉,5,市容环卫,美丽深圳,1,1,581,坪山区,10020,101,0,1,1801,龙田街道,2018/7/11 7:42,102,0,暴露垃圾,2,-,龙田社区,市政服务中心（龙田街道办事处）,垃圾问题,172
74713,1,投诉,5,市容环卫,美丽深圳,1,1,611,坪山区,10020,101,0,1,8508,龙田街道,2018/7/11 7:52,102,0,悬挂横幅标语、,2,-,龙田社区,龙田街道综合执法队,宣传广告违法行为,180
74722,1,咨询,12,组织人事,@坪山,1,1,1048,坪山区,10014,101,0,1,1529,龙田街道,2018/7/11 8:25,103,0,人才战略,3,-,老坑社区,人力资源局,人力资源,1047
74739,1,投诉,3,环保水务,@坪山,1,1,460,坪山区,10013,101,0,1,1536,龙田街道,2018/7/11 8:37,103,0,工业红线内噪声,2,-,竹坑社区,环境保护和水务局,工业噪声,132
74742,1,投诉,5,市容环卫,美丽深圳,1,1,582,坪山区,10020,101,0,1,1801,龙田街道,2018/7/11 8:42,102,0,门店外扫垃圾,2,-,龙田社区,市政服务中心（龙田街道办事处）,垃圾问题,172
74762,1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10015,105,0,1,1770,坑梓街道,2018/7/11 9:02,102,0,下水井盖,2,-,坑梓社区,市政服务中心（坑梓街道办事处）,公用部件,185
74766,1,投诉,5,市容环卫,美丽深圳,1,1,1266,坪山区,10007,104,0,1,8484,坪山街道,2018/7/11 9:07,102,0,广告牌匾,2,-,六联社区,坪山街道综合执法队,宣传广告违法行为,180
